,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
159,601398.SH,20230712,4.5319,4.5601,4.5038,4.5131,4.83,-0.3169000000000004,-6.5611,1862673.15,899237.41
160,601398.SH,20230711,4.4944,4.5413,4.485,4.5319,4.77,-0.2380999999999993,-4.9916,1810361.38,872812.383
161,601398.SH,20230710,4.4756,4.4944,4.4568,4.4756,4.76,-0.28439999999999976,-5.9748,1259393.4,600869.277
162,601398.SH,20230707,4.4662,4.5131,4.4568,4.4662,4.77,-0.30379999999999985,-6.369,2204643.4,1052383.642
163,601398.SH,20230706,4.5038,4.5319,4.4662,4.4756,4.82,-0.34440000000000026,-7.1452,2402678.18,1150747.048
164,601398.SH,20230705,4.5319,4.5507,4.4944,4.5225,4.83,-0.3075000000000001,-6.3665,1650508.24,795131.316
165,601398.SH,20230704,4.5694,4.5788,4.5225,4.5319,4.88,-0.34809999999999963,-7.1332,2236081.29,1083994.704
166,601398.SH,20230703,4.5413,4.5882,4.5038,4.5788,4.82,-0.24120000000000008,-5.0041,2885172.37,1401397.653
167,601398.SH,20230630,4.4944,4.5413,4.4944,4.5225,4.78,-0.2575000000000003,-5.387,1789393.86,861972.306
168,601398.SH,20230629,4.5131,4.5225,4.485,4.485,4.82,-0.33499999999999996,-6.9502,1768647.0,848123.797
169,601398.SH,20230628,4.5038,4.5413,4.485,4.5225,4.81,-0.28749999999999964,-5.9771,1914026.17,921642.614
170,601398.SH,20230627,4.4756,4.5225,4.4381,4.5131,4.77,-0.2568999999999999,-5.3857,2129214.48,1020036.538
171,601398.SH,20230626,4.5507,4.5601,4.4568,4.4756,4.85,-0.3743999999999996,-7.7196,2989837.96,1430494.631
172,601398.SH,20230621,4.5225,4.6257,4.5131,4.5507,4.83,-0.2793000000000001,-5.7826,2736087.67,1333802.3
173,601398.SH,20230620,4.5319,4.5694,4.5038,4.5319,4.83,-0.2980999999999998,-6.1718,1754802.58,847809.825
174,601398.SH,20230619,4.5788,4.5882,4.5131,4.5319,4.88,-0.34809999999999963,-7.1332,2294115.14,1110369.621
175,601398.SH,20230616,4.607,4.6164,4.5788,4.5788,4.91,-0.33119999999999994,-6.7454,2177238.33,1066214.514
176,601398.SH,20230615,4.5976,4.6539,4.5694,4.607,4.87,-0.2629999999999999,-5.4004,2252519.16,1105624.109
177,601398.SH,20230614,4.682,4.7102,4.5601,4.5694,5.0,-0.4306000000000001,-8.612,3504577.16,1728125.975
178,601398.SH,20230613,4.6539,4.7008,4.6445,4.6914,4.97,-0.27859999999999996,-5.6056,1622393.81,809442.49
179,601398.SH,20230612,4.7665,4.7759,4.6445,4.6633,5.07,-0.4067000000000007,-8.0217,2706656.25,1353794.292
180,601398.SH,20230609,4.7665,4.804,4.7477,4.7571,5.09,-0.33289999999999953,-6.5403,2114255.48,1075351.684
181,601398.SH,20230608,4.7008,4.7852,4.6726,4.7759,5.01,-0.23409999999999975,-4.6727,2413816.83,1219117.768
182,601398.SH,20230607,4.6633,4.7383,4.6633,4.7008,4.96,-0.2591999999999999,-5.2258,2192964.42,1099411.845
183,601398.SH,20230606,4.6539,4.7383,4.6351,4.6539,4.96,-0.3060999999999998,-6.1714,2501764.9,1251780.679
184,601398.SH,20230605,4.5788,4.6726,4.5601,4.6539,4.88,-0.22609999999999975,-4.6332,1961820.25,969318.119
185,601398.SH,20230602,4.5601,4.5976,4.5413,4.5788,4.86,-0.2812000000000001,-5.786,1594868.42,775899.59
186,601398.SH,20230601,4.5225,4.6164,4.5038,4.5601,4.83,-0.2698999999999998,-5.588,2708660.17,1316044.948
187,601398.SH,20230531,4.5131,4.5694,4.485,4.5319,4.82,-0.2881,-5.9772,2513541.53,1215088.902
188,601398.SH,20230530,4.5413,4.5788,4.4944,4.5225,4.85,-0.3274999999999997,-6.7526,2689175.49,1298717.694
189,601398.SH,20230529,4.5131,4.5788,4.5038,4.5507,4.8,-0.24929999999999986,-5.1937,2980559.48,1441539.23
190,601398.SH,20230526,4.4475,4.5413,4.4287,4.5038,4.74,-0.2362000000000002,-4.9831,2346930.92,1123359.457
191,601398.SH,20230525,4.4381,4.4756,4.4099,4.4475,4.76,-0.3125,-6.5651,3461347.35,1637454.759
192,601398.SH,20230524,4.6445,4.6539,4.4568,4.4662,4.93,-0.4638,-9.4077,5227541.45,2512302.395
193,601398.SH,20230523,4.7477,4.7946,4.607,4.6257,5.07,-0.44430000000000014,-8.7633,4411799.99,2195648.031
194,601398.SH,20230522,4.7289,4.8322,4.7102,4.7571,5.04,-0.2828999999999997,-5.6131,2578695.76,1312745.93
195,601398.SH,20230519,4.7946,4.8228,4.7289,4.7289,5.12,-0.3910999999999998,-7.6387,3082250.32,1566953.441
196,601398.SH,20230518,4.6914,4.8603,4.682,4.804,4.99,-0.18599999999999994,-3.7275,4402893.21,2247012.011
197,601398.SH,20230517,4.682,4.7289,4.6257,4.682,5.01,-0.3279999999999994,-6.5469,2615395.51,1303973.179
198,601398.SH,20230516,4.7289,4.8228,4.6726,4.7008,5.04,-0.33919999999999995,-6.7302,3238579.0,1638354.828
199,601398.SH,20230515,4.682,4.7477,4.5507,4.7289,4.98,-0.2511000000000001,-5.0422,5121251.41,2529284.812
200,601398.SH,20230512,4.682,4.7383,4.6445,4.6726,5.0,-0.3273999999999999,-6.548,3651839.27,1822660.939
201,601398.SH,20230511,4.7196,4.7946,4.682,4.6914,5.03,-0.33860000000000046,-6.7316,4037362.61,2028244.04
202,601398.SH,20230510,4.8978,4.9354,4.682,4.7196,5.27,-0.5503999999999998,-10.444,7516354.46,3815734.476
203,601398.SH,20230509,5.0386,5.1324,4.8978,4.9447,5.3,-0.3552999999999997,-6.7038,9334986.15,4986593.624
204,601398.SH,20230508,4.7102,5.0292,4.7008,4.9729,4.99,-0.017100000000000115,-0.3427,10488613.02,5490372.106
205,601398.SH,20230505,4.6351,4.7852,4.6351,4.682,4.95,-0.2679999999999998,-5.4141,6828810.0,3428249.976
206,601398.SH,20230504,4.4099,4.6539,4.3912,4.6445,4.72,-0.0754999999999999,-1.5996,7289708.42,3541568.882
207,601398.SH,20230428,4.4475,4.485,4.4099,4.4287,4.75,-0.3212999999999999,-6.7642,2503244.0,1185262.424
208,601398.SH,20230427,4.4475,4.4568,4.4099,4.4568,4.75,-0.2931999999999997,-6.1726,2657079.62,1256636.714
209,601398.SH,20230426,4.4475,4.485,4.363,4.4568,4.75,-0.2931999999999997,-6.1726,4009611.15,1891851.111
210,601398.SH,20230425,4.4193,4.485,4.4193,4.4568,4.72,-0.26319999999999943,-5.5763,3915674.75,1857660.019
211,601398.SH,20230424,4.4099,4.4568,4.3912,4.4287,4.7,-0.2713000000000001,-5.7723,3062068.1,1443750.723
212,601398.SH,20230421,4.4475,4.4944,4.4005,4.4099,4.74,-0.33009999999999984,-6.9641,3158540.05,1496588.9
213,601398.SH,20230420,4.4662,4.4944,4.3912,4.4475,4.76,-0.3125,-6.5651,3180013.41,1502667.18
214,601398.SH,20230419,4.4756,4.5038,4.4568,4.4662,4.77,-0.30379999999999985,-6.369,2699213.78,1288443.209
215,601398.SH,20230418,4.4381,4.5131,4.4287,4.4756,4.73,-0.2544000000000004,-5.3784,3952574.34,1882106.553
216,601398.SH,20230417,4.3442,4.4475,4.3349,4.4381,4.63,-0.19189999999999952,-4.1447,3556291.81,1666156.219
217,601398.SH,20230414,4.363,4.363,4.3255,4.3442,4.63,-0.28580000000000005,-6.1728,1514960.89,701396.46
218,601398.SH,20230413,4.3161,4.363,4.2973,4.3442,4.61,-0.2658000000000005,-5.7657,2187342.68,1012149.962
